adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,redis-cart,shippingservice
1,1,2,2,1,2,1,1,1,1,1
1,1,2,3,1,2,1,2,1,1,1
1,1,2,3,1,3,1,2,2,1,1
1,1,2,4,1,3,1,2,2,1,1
1,1,2,6,1,4,1,2,2,1,1
1,2,2,5,1,4,1,2,2,1,1
1,2,2,6,1,4,1,2,2,1,1
1,2,2,6,1,4,1,2,2,1,1
1,2,2,6,1,5,1,2,2,1,1
1,2,2,6,1,4,1,2,2,1,1
1,1,2,5,1,4,1,2,2,1,1
1,1,2,5,1,4,1,2,2,1,1
1,1,2,5,1,4,1,2,2,1,1
1,1,2,6,1,4,1,2,2,1,1
1,1,3,6,1,5,1,2,2,1,1
1,1,3,6,1,5,1,2,2,1,1
1,1,2,7,1,5,1,2,2,1,1
1,2,3,7,1,5,1,3,2,1,1
1,2,2,7,1,5,1,2,2,1,1
1,2,3,7,1,5,1,2,2,1,1
1,2,3,7,1,5,1,3,2,1,1
1,2,3,7,1,5,1,2,2,1,1
1,2,3,6,1,5,1,2,2,1,1
1,2,3,6,1,5,1,2,2,1,1
1,2,3,6,1,5,1,2,2,1,1
1,2,3,6,1,5,1,2,2,1,1
1,2,3,6,1,5,1,3,2,1,1
1,2,2,6,1,5,1,3,2,1,1
1,2,2,6,1,5,1,2,2,1,1
