frontend,adservice,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice
1,1,1,1,2,1,1,1,1,1
1,1,1,1,2,1,1,1,1,1
1,1,1,1,2,1,1,1,1,1
1,1,1,1,2,1,1,1,1,1
2,1,1,1,2,1,1,1,1,1
2,1,1,1,2,1,1,1,1,1
2,1,1,1,2,1,1,1,1,1
2,1,1,1,2,1,1,1,1,1
2,1,1,1,2,1,1,1,1,1
2,1,1,1,2,1,1,1,1,1
2,1,1,1,2,1,1,1,1,1
2,1,1,1,2,1,1,1,1,1
2,1,1,1,2,1,1,1,1,1
2,1,1,1,2,1,1,1,1,1
2,1,1,1,2,1,1,1,1,1
2,1,1,1,2,1,1,1,1,1
1,1,1,1,2,1,1,1,1,1
1,1,1,1,2,1,1,1,1,1
1,1,1,1,2,1,1,1,1,1
