frontend,adservice,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice
12,2,1,11,13,4,22,9,9,9
10,5,3,4,4,1,10,23,4,1
8,8,6,1,6,13,13,11,5,2
18,3,3,8,4,2,20,15,5,1
11,2,2,1,8,13,1,6,3,15
23,7,2,2,10,15,16,9,5,1
17,1,3,11,12,10,15,5,3,11
15,8,2,13,6,13,3,6,12,4
10,6,2,15,5,8,22,13,1,9
10,18,1,2,8,9,2,8,1,2
8,1,1,1,18,1,23,16,7,25
10,3,3,2,7,8,8,15,3,3
11,4,2,4,3,7,2,7,10,26
16,7,11,2,5,9,3,11,3,2
18,7,2,1,7,12,1,27,5,4
15,4,4,1,8,9,6,8,20,4
9,4,7,11,4,7,4,9,1,11
8,14,8,6,12,7,2,16,8,1
19,2,7,4,8,7,1,16,16,2
7,1,3,8,9,25,10,12,4,17
10,2,2,2,5,15,1,21,10,12
