frontend,adservice,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice
1,2,2,1,5,1,1,3,1,1
1,1,1,1,4,1,1,2,1,1
1,1,1,1,2,1,1,1,1,1
1,1,1,1,4,1,1,2,1,1
1,1,1,1,2,1,1,1,1,1
1,1,1,1,4,1,1,2,1,1
1,1,1,1,3,1,1,2,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,1,1,1
1,1,1,1,3,1,1,2,1,1
1,1,1,1,2,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,1,1,1
1,1,1,1,4,1,1,2,1,1
1,1,1,1,2,1,1,1,1,1
1,1,1,1,4,1,1,2,1,1
1,1,1,1,3,1,1,2,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,1,1,1
1,1,1,1,3,1,1,2,1,1
1,1,1,1,2,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,1,1,1
1,1,1,1,4,1,1,2,1,1
1,1,1,1,2,1,1,1,1,1
1,1,1,1,4,1,1,2,1,1
1,1,1,1,2,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,1,1,1
1,1,1,1,3,1,1,2,1,1
1,1,1,1,3,1,1,2,1,1
