frontend,adservice,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice
4,1,1,1,5,1,1,1,1,1
4,2,1,1,6,1,1,1,1,1
4,2,1,1,6,1,1,1,1,1
2,1,1,1,4,1,1,1,1,1
3,1,1,1,6,1,1,1,1,1
4,1,1,1,7,1,1,1,1,1
4,1,1,1,5,1,1,1,1,1
3,1,1,1,7,1,1,1,1,1
2,1,1,1,7,1,1,1,1,1
4,1,1,1,7,1,1,1,1,1
5,1,1,1,6,1,1,1,1,1
4,1,1,1,5,1,1,1,1,1
3,1,1,1,7,1,1,1,1,1
2,1,1,1,4,1,1,1,1,1
2,1,1,1,4,1,1,1,1,1
2,1,1,1,4,1,1,1,1,1
3,1,1,1,9,1,1,1,1,1
4,1,1,1,11,1,1,1,1,1
6,1,1,1,10,1,1,1,1,1
3,1,1,1,8,1,1,1,1,1
2,1,1,1,8,1,1,1,1,1
4,1,1,1,3,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1
1,1,1,1,5,1,1,1,1,1
3,1,1,1,10,1,1,1,1,1
4,4,4,4,7,4,4,4,4,4
4,4,4,4,7,4,4,4,4,4
1,1,1,1,6,1,1,1,1,1
3,1,1,1,8,1,1,1,1,1
3,1,1,1,9,1,1,1,1,1
4,1,1,1,8,1,1,1,1,1
2,1,1,4,7,1,1,1,1,1
3,1,1,4,8,1,1,1,1,1
4,4,4,4,3,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
2,1,1,1,4,1,1,1,1,1
3,1,1,1,10,1,1,1,1,1
5,1,1,1,9,1,1,1,1,1
5,1,1,1,10,1,1,1,1,1
3,1,1,1,7,1,1,1,1,1
3,1,1,1,7,1,1,1,1,1
4,1,1,1,3,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1
2,1,1,1,5,1,1,1,1,1
4,1,1,1,8,1,1,1,1,1
4,1,1,1,5,1,1,1,1,1
4,1,1,1,6,1,1,1,1,1
2,1,1,1,6,1,1,1,1,1
3,1,1,1,7,1,1,1,1,1
5,1,1,1,8,1,1,1,1,1
5,1,1,1,5,1,1,1,1,1
2,1,1,1,5,1,1,1,1,1
3,1,1,1,7,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,1,1,1,4,1,1,1,1,1
2,1,1,1,6,1,1,1,1,1
3,1,1,1,11,1,1,1,1,1
5,1,1,1,12,1,1,1,1,1
4,1,1,1,10,1,1,1,1,1
2,1,1,1,8,1,1,1,1,1
