adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,shippingservice
9,2,9,2,2,2,2,2,2,2
3,2,3,2,2,2,2,2,2,2
9,2,11,2,2,2,2,2,2,2
9,2,16,2,2,2,2,2,2,2
3,2,16,2,2,2,2,2,2,2
21,2,16,2,2,2,2,2,2,2
11,2,16,2,2,2,2,2,2,2
16,2,16,2,2,2,2,2,2,2
3,2,16,2,2,2,2,2,2,2
9,2,21,2,2,2,2,2,2,2
21,2,9,2,2,2,2,2,2,2
21,2,9,2,2,2,2,2,2,2
21,2,11,2,2,2,2,2,2,2
21,2,16,2,2,2,2,2,2,2
21,2,16,2,2,2,2,2,2,2
9,2,16,2,2,2,2,2,2,2
9,2,16,2,2,2,2,2,2,2
21,2,16,2,2,2,2,2,2,2
9,2,16,2,2,2,2,2,2,2
9,2,16,2,2,2,2,2,2,2
9,2,16,2,2,2,2,2,2,2
9,2,16,2,2,2,2,2,2,2
21,2,16,2,2,2,2,2,2,2
11,2,16,2,2,2,2,2,2,2
3,2,16,2,2,2,2,2,2,2
9,2,16,2,2,2,2,2,2,2
9,2,16,2,2,2,2,2,2,2
3,2,16,2,2,2,2,2,2,2
3,2,16,2,2,2,2,2,2,2
21,2,16,2,2,2,2,2,2,2
21,2,16,2,2,2,2,2,2,2
21,2,16,2,2,2,2,2,2,2
21,2,16,2,2,2,2,2,2,2
21,2,16,2,2,2,2,2,2,2
21,2,16,2,2,2,2,2,2,2
21,2,16,2,2,2,2,2,2,2
21,2,16,2,2,2,2,2,2,2
11,2,16,2,2,2,2,2,2,2
21,2,16,2,2,2,2,2,2,2
9,2,16,2,2,2,2,2,2,2
21,2,16,2,2,2,2,2,2,2
21,2,16,2,2,2,2,2,2,2
9,2,16,2,2,2,2,2,2,2
21,2,21,2,2,2,2,2,2,2
3,2,9,2,2,2,2,2,2,2
9,2,3,2,2,2,2,2,2,2
21,2,11,2,2,2,2,2,2,2
21,2,21,2,2,2,2,2,2,2
21,2,9,2,2,2,2,2,2,2
9,2,3,2,2,2,2,2,2,2
21,2,11,2,2,2,2,2,2,2
9,2,16,2,2,2,2,2,2,2
9,2,16,2,2,2,2,2,2,2
21,2,16,2,2,2,2,2,2,2
9,2,16,2,2,2,2,2,2,2
21,2,16,2,2,2,2,2,2,2
21,2,16,2,2,2,2,2,2,2
