frontend,adservice,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice
21,2,21,2,2,2,2,2,2,2
23,2,21,2,2,2,2,2,2,2
23,2,21,2,23,2,2,2,2,2
22,2,9,2,21,2,2,2,2,2
22,2,3,2,21,2,2,2,2,2
5,2,21,2,9,2,2,2,2,2
19,2,16,2,22,2,2,2,2,2
10,2,16,2,22,2,2,2,2,2
22,2,3,2,11,2,2,2,2,2
23,2,11,2,5,2,2,2,2,2
23,2,16,2,23,2,2,2,2,2
13,2,16,2,14,2,2,2,2,2
21,2,16,2,17,2,2,2,2,2
9,2,16,2,22,2,2,2,2,2
14,2,16,2,22,2,2,2,2,2
22,2,16,2,11,2,2,2,2,2
10,2,21,2,23,2,2,2,2,2
10,2,21,2,22,2,2,2,2,2
10,2,9,2,22,2,2,2,2,2
19,2,9,2,23,2,2,2,2,2
22,2,3,2,21,2,2,2,2,2
22,2,11,2,21,2,2,2,2,2
22,2,16,2,14,2,2,2,2,2
10,2,16,2,22,2,2,2,2,2
10,2,16,2,22,2,2,2,2,2
22,2,9,2,11,2,2,2,2,2
23,2,3,2,23,2,2,2,2,2
23,2,11,2,23,2,2,2,2,2
21,2,21,2,17,2,2,2,2,2
23,2,16,2,23,2,2,2,2,2
17,2,9,2,22,2,2,2,2,2
9,2,3,2,22,2,2,2,2,2
22,2,11,2,23,2,2,2,2,2
22,2,11,2,23,2,2,2,2,2
10,2,21,2,22,2,2,2,2,2
19,2,21,2,22,2,2,2,2,2
19,2,9,2,11,2,2,2,2,2
22,2,3,2,21,2,2,2,2,2
11,2,11,2,22,2,2,2,2,2
22,2,16,2,22,2,2,2,2,2
22,2,16,2,22,2,2,2,2,2
11,2,16,2,22,2,2,2,2,2
23,2,16,2,12,2,2,2,2,2
23,2,16,2,23,2,2,2,2,2
13,2,16,2,14,2,2,2,2,2
21,2,21,2,17,2,2,2,2,2
21,2,21,2,6,2,2,2,2,2
9,2,9,2,22,2,2,2,2,2
14,2,3,2,22,2,2,2,2,2
14,2,11,2,11,2,2,2,2,2
10,2,16,2,23,2,2,2,2,2
