adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,shippingservice
7,12,21,4,7,8,15,8,5,3
20,1,17,1,2,8,8,8,6,8
25,5,2,2,2,4,7,3,6,23
17,8,9,2,8,8,4,13,1,4
17,8,3,1,8,25,14,1,3,7
21,7,5,4,6,9,3,9,11,5
10,12,6,8,11,21,1,3,11,3
11,1,23,19,1,13,9,9,7,3
8,5,4,24,12,23,4,8,4,6
24,4,10,1,22,1,1,6,7,5
11,3,4,21,8,2,2,7,17,8
6,2,3,5,24,18,5,9,8,1
8,1,6,8,17,15,4,8,10,8
17,5,3,7,9,2,4,22,1,14
24,3,5,11,5,11,3,18,2,4
13,6,2,15,16,2,10,9,8,9
10,8,2,3,5,11,15,2,3,4
7,5,7,4,1,8,4,2,3,3
22,10,2,8,5,10,3,15,14,2
4,2,3,12,23,9,5,7,7,6
17,7,1,8,11,11,1,18,8,1
18,5,9,13,8,7,29,15,1,1
12,8,11,2,12,10,6,9,5,8
14,3,4,7,15,15,1,5,7,1
8,2,1,7,26,5,1,11,13,1
6,3,5,4,2,3,19,5,21,10
8,8,22,4,5,3,1,11,6,4
17,2,1,1,13,8,7,12,8,17
7,10,7,11,16,4,1,6,4,3
22,14,2,1,1,2,9,12,2,13
22,2,3,23,4,10,1,4,6,8
8,2,8,4,8,1,3,15,8,2
17,4,1,6,13,8,1,5,5,4
6,2,10,1,21,11,19,9,4,2
17,10,8,7,2,15,8,5,1,10
8,7,2,13,8,11,3,1,24,1
20,12,8,4,22,1,1,3,4,6
7,8,5,10,18,9,4,19,2,3
13,2,2,9,5,1,10,3,3,16
8,8,10,8,4,12,8,6,6,1
14,8,3,4,8,1,5,8,8,1
8,7,1,18,17,8,1,6,8,8
26,7,1,18,8,9,15,9,12,2
18,2,1,2,5,8,11,5,8,8
14,3,1,7,9,8,10,27,5,9
14,9,2,6,6,7,13,14,12,1
24,6,6,4,23,5,1,6,4,1
10,2,8,7,20,13,8,9,9,5
14,8,3,6,5,1,16,6,1,6
24,9,1,3,8,3,10,7,23,8
5,1,3,27,8,20,1,6,14,6
7,8,1,5,1,1,3,15,4,3
25,4,5,15,7,6,2,18,1,8
9,15,1,1,7,3,14,8,1,1
15,6,14,1,6,2,8,7,10,9
13,1,12,1,5,7,1,18,2,8
15,2,3,20,14,8,2,12,1,15
3,8,8,4,6,14,5,7,9,19
13,13,2,5,4,4,19,15,8,18
