adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,shippingservice
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,2,1,2,1,2,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1,1,1
1,1,1,2,1,2,1,1,1,1,1
