frontend,adservice,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice
1,1,1,2,1,2,1,1,1,1,1
2,2,1,2,1,2,1,1,1,1,1
2,2,1,14,1,16,1,1,1,1,1
1,1,1,14,1,16,1,1,1,1,1
1,1,1,14,1,16,1,1,1,1,1
1,1,1,12,1,6,1,1,1,1,1
1,1,1,6,1,6,1,1,1,1,1
1,1,1,6,1,4,1,1,1,1,1
1,1,1,6,1,6,1,1,1,1,1
1,1,1,6,1,6,1,1,1,1,1
1,1,1,16,1,14,1,1,1,1,1
1,1,1,16,1,14,1,1,1,1,1
1,1,1,16,1,14,1,1,1,1,1
1,1,1,8,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,16,1,1,1,1,1,1,1
1,1,1,16,1,16,1,1,1,1,1
1,1,1,6,1,16,1,1,1,1,1
1,1,1,10,1,8,1,1,1,1,1
1,1,1,10,1,4,1,1,1,1,1
1,2,1,10,1,4,1,1,1,1,1
1,2,1,6,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,14,1,16,1,1,1,1,1
1,1,1,14,1,8,1,1,1,1,1
1,1,1,2,1,6,1,1,1,1,1
1,1,1,6,1,6,1,1,1,1,1
1,1,1,6,1,4,1,1,1,1,1
1,1,1,6,1,6,1,1,1,1,1
1,1,1,6,1,6,1,1,1,1,1
1,1,1,16,1,14,1,1,1,1,1
1,1,1,16,1,14,1,1,1,1,1
1,2,1,16,1,12,1,1,1,1,1
1,2,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,16,1,1,1,1,1,1,1
1,1,1,16,1,16,1,1,1,1,1
1,1,1,6,1,16,1,1,1,1,1
1,1,1,10,1,8,1,1,1,1,1
1,1,1,10,1,4,1,1,1,1,1
1,1,1,10,1,1,1,1,1,1,1
1,1,1,6,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,14,1,16,1,1,1,1,1
1,1,1,14,1,8,1,1,1,1,1
1,1,1,2,1,6,1,1,1,1,1
1,1,1,6,1,4,1,1,1,1,1
1,1,1,6,1,4,1,1,1,1,1
1,1,1,6,1,6,1,1,1,1,1
1,1,1,6,1,6,1,1,1,1,1
1,1,1,16,1,14,1,1,1,1,1
1,1,1,16,1,14,1,1,1,1,1
1,1,1,16,1,2,1,1,1,1,1
1,2,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,16,1,1,1,1,1,1,1
1,1,1,16,1,16,1,1,1,1,1
1,1,1,6,1,16,1,1,1,1,1
1,1,1,10,1,4,1,1,1,1,1
