carts,carts-db,catalogue,catalogue-db,front-end,orders,orders-db,payment,queue-master,rabbitmq,session-db,shipping,user,user-db
6,8,1,2,1,6,1,1,1,1,2,1,1,2
6,8,1,2,2,6,1,1,1,1,2,2,1,2
6,8,1,2,3,6,1,1,1,1,2,3,1,2
6,8,1,2,5,6,1,1,1,1,2,5,1,2
6,8,1,2,7,6,1,1,1,1,2,7,1,2
6,8,1,2,10,6,1,1,1,1,2,10,1,2
6,8,1,2,14,6,1,1,1,1,2,15,1,2
6,8,1,2,17,6,1,1,1,1,2,21,1,2
6,8,1,2,23,6,1,1,1,1,2,30,1,2
6,8,1,2,28,6,1,1,1,1,2,30,1,2
6,8,1,2,30,6,1,1,1,1,2,30,2,2
6,8,1,2,30,6,1,1,1,1,2,30,2,2
6,8,1,2,26,6,1,1,1,1,2,30,2,2
6,8,1,2,26,6,1,1,1,1,2,30,2,2
6,8,1,2,23,6,1,1,1,1,2,30,1,2
6,8,1,2,23,6,1,1,1,1,2,30,1,2
6,8,1,2,21,6,1,1,1,1,2,30,2,2
6,8,1,2,19,6,1,1,1,1,2,30,2,2
6,8,1,2,18,6,1,1,1,1,2,22,1,2
6,8,1,2,18,6,1,1,1,1,2,14,1,2
6,8,1,2,16,6,1,1,1,1,2,2,1,2
6,8,1,2,15,6,1,1,1,1,2,1,1,2
6,8,1,2,8,6,1,1,1,1,2,1,1,2
6,8,1,2,8,6,1,1,1,1,2,1,1,2
6,8,1,2,8,6,1,1,1,1,2,1,1,2
6,8,1,2,11,6,1,1,1,1,2,1,1,2
6,8,1,2,10,6,1,1,1,1,2,1,1,2
6,8,1,2,11,6,1,1,1,1,2,1,1,2
6,8,1,2,11,6,1,1,1,1,2,1,1,2
6,8,1,2,16,6,1,1,1,1,2,1,2,2
6,8,1,2,19,6,1,1,1,1,2,1,2,2
6,8,1,2,21,6,1,1,1,1,2,1,2,2
6,8,1,2,22,6,1,1,1,1,2,1,2,2
6,8,1,2,21,6,1,1,1,1,2,1,2,2
6,8,1,2,20,6,1,1,1,1,2,1,2,2
6,8,1,2,18,6,1,1,1,1,2,1,2,2
6,8,1,2,8,6,1,1,1,1,2,1,1,2
6,8,1,2,8,6,1,1,1,1,2,1,1,2
6,8,1,2,6,6,1,1,1,1,2,1,1,2
6,8,1,2,11,6,1,1,1,1,2,1,2,2
6,8,1,2,13,6,1,1,1,1,2,1,2,2
6,8,1,2,17,6,1,1,1,1,2,1,2,2
6,8,1,2,18,6,1,1,1,1,2,1,2,2
6,8,1,2,20,6,1,1,1,1,2,1,2,2
6,8,1,2,20,6,1,1,1,1,2,1,2,2
6,8,1,2,20,6,1,1,1,1,2,1,2,2
6,8,1,2,18,6,1,1,1,1,2,1,2,2
6,8,1,2,17,6,1,1,1,1,2,1,2,2
6,8,1,2,16,6,1,1,1,1,2,1,2,2
6,8,1,2,15,6,1,1,1,1,2,1,2,2
6,8,1,2,14,6,1,1,1,1,2,1,2,2
6,8,1,2,15,6,1,1,1,1,2,1,2,2
6,8,1,2,15,6,1,1,1,1,2,1,2,2
6,8,1,2,14,6,1,1,1,1,2,1,2,2
6,8,1,2,15,6,1,1,1,1,2,1,2,2
6,8,1,2,15,6,1,1,1,1,2,1,2,2
6,8,1,2,15,6,1,1,1,1,2,1,2,2
6,8,1,2,13,6,1,1,1,1,2,1,2,2
6,8,1,2,17,6,1,1,1,1,2,1,2,2
6,8,1,2,18,6,1,1,1,1,2,1,2,2
6,8,1,2,20,6,1,1,1,1,2,1,2,2
6,8,1,2,20,6,1,1,1,1,2,1,2,2
6,8,1,2,20,6,1,1,1,1,2,1,2,2
6,8,1,2,18,6,1,1,1,1,2,1,2,2
6,8,1,2,17,6,1,1,1,1,2,1,2,2
6,8,1,2,16,6,1,1,1,1,2,1,2,2
6,8,1,2,16,6,1,1,1,1,2,1,2,2
6,8,1,2,16,6,1,1,1,1,2,1,2,2
6,8,1,2,15,6,1,1,1,1,2,1,2,2
6,8,1,2,16,6,1,1,1,1,2,1,2,2
6,8,1,2,17,6,1,1,1,1,2,1,2,2
6,8,1,2,16,6,1,1,1,1,2,1,2,2
6,8,1,2,16,6,1,1,1,1,2,1,2,2
6,8,1,2,16,6,1,1,1,1,2,1,2,2
6,8,1,2,15,6,1,1,1,1,2,1,2,2
6,8,1,2,15,6,1,1,1,1,2,1,2,2
6,8,1,2,15,6,1,1,1,1,2,1,2,2
6,8,1,2,14,6,1,1,1,1,2,1,2,2
6,8,1,2,14,6,1,1,1,1,2,1,2,2
6,8,1,2,13,6,1,1,1,1,2,1,2,2
6,8,1,2,14,6,1,1,1,1,2,1,2,2
6,8,1,2,14,6,1,1,1,1,2,1,2,2
6,8,1,2,14,6,1,1,1,1,2,1,2,2
6,8,1,2,13,6,1,1,1,1,2,1,2,2
6,8,1,2,7,6,1,1,1,1,2,1,1,2
6,8,1,2,7,6,1,1,1,1,2,1,1,2
6,8,1,2,7,6,1,1,1,1,2,1,1,2
6,8,1,2,10,6,1,1,1,1,2,1,1,2
6,8,1,2,9,6,1,1,1,1,2,1,2,2
6,8,1,2,11,6,1,1,1,1,2,1,2,2
6,8,1,2,14,6,1,1,1,1,2,1,2,2
6,8,1,2,16,6,1,1,1,1,2,1,2,2
6,8,1,2,17,6,1,1,1,1,2,1,2,2
6,8,1,2,18,6,1,1,1,1,2,1,2,2
6,8,1,2,17,6,1,1,1,1,2,1,2,2
6,8,1,2,17,6,1,1,1,1,2,1,2,2
6,8,1,2,16,6,1,1,1,1,2,1,2,2
6,8,1,2,16,6,1,1,1,1,2,1,2,2
6,8,1,2,16,6,1,1,1,1,2,1,2,2
6,8,1,2,16,6,1,1,1,1,2,1,2,2
6,8,1,2,16,6,1,1,1,1,2,1,2,2
6,8,1,2,15,6,1,1,1,1,2,1,2,2
6,8,1,2,3,6,1,1,1,1,2,1,1,2
6,8,1,2,3,6,1,1,1,1,2,1,1,2
6,8,1,2,4,6,1,1,1,1,2,1,1,2
6,8,1,2,6,6,1,1,1,1,2,1,1,2
6,8,1,2,8,6,1,1,1,1,2,1,1,2
6,8,1,2,10,6,1,1,1,1,2,1,1,2
6,8,1,2,13,6,1,1,1,1,2,1,1,2
6,8,1,2,14,6,1,1,1,1,2,1,2,2
6,8,1,2,14,6,1,1,1,1,2,1,1,2
6,8,1,2,16,6,1,1,1,1,2,1,1,2
6,8,1,2,15,6,1,1,1,1,2,1,1,2
6,8,1,2,15,6,1,1,1,1,2,1,2,2
6,8,1,2,15,6,1,1,1,1,2,1,2,2
6,8,1,2,14,6,1,1,1,1,2,1,1,2
6,8,1,2,13,6,1,1,1,1,2,1,1,2
6,8,1,2,13,6,1,1,1,1,2,1,1,2
6,8,1,2,14,6,1,1,1,1,2,1,1,2
