/ && GET,/basket.html && GET,/cart && DELETE,/cart && POST,/category.html && GET,/customers && GET,/detail.html?id={} && GET,/login && GET,avg,unknown
2291.5032097004278,0,0,0,2350.0,2350.0,4687.5,2050.0,2475.080232770677,4.825000000000001
5934.626563325703,0,4750.0,8500.0,8210.696258907363,7436.519136198417,9269.23076923077,4850.0,7794.789087028153,4.84
6009.128494072883,0,4750.0,8500.0,8206.376852448455,7508.55477455855,9269.23076923077,4850.0,7875.426470895691,4.84
7373.958015882975,24315.93128999663,9271.275871459697,13999.999999999976,9259.775471046014,9181.50979969847,9638.722764097318,6500.000000000002,9085.559143181341,1540.3909255245335
7410.644621958014,24817.407757805115,9268.162268975939,13999.999999999993,9255.170932302219,9266.164051469215,9615.427234671264,6500.0,9132.061761746529,1665.8420572520745
14714.239794278383,23402.234636871508,8261.753494282084,21000.000000000007,16203.45270366671,19038.42466847739,21819.093539054964,8250.000000000002,17215.636426786557,1792.9986035292623
14843.646560571253,23567.695173927466,8292.370300647806,20999.999999999996,16152.646282291425,19140.68388638662,21689.686772762103,8250.0,17355.822692081554,1854.9881958723631
16513.962293918103,25013.27623760909,10034.784317578808,26722.22483795533,21039.280959403026,22377.58746126887,23844.510305502656,16000.000000000002,21631.657849994535,1938.3288693274517
16595.448295824608,24981.611753639896,10233.059457549249,26967.46827215818,21041.13427806754,22392.561716294716,23770.784875206322,15999.999999999996,21895.900892755715,1975.3001068588583
16664.270909941843,24956.09294299512,10394.477000883031,27107.00108425854,21042.681478801565,22405.042984191263,23708.51679576692,16000.000000000011,22105.32220986495,2006.0787027798183
16068.554396423233,26747.659556980234,24596.70774973518,26577.041573161918,23464.750377762597,23926.996095327864,25204.572079916412,20000.000000000007,23867.43080064867,2058.8440815942404
16130.233097529881,26749.29055365618,24701.65582719433,26685.91010726206,23453.427154381963,23942.91697924481,25178.130628635547,19999.999999999993,23933.60923130378,2079.4411730410447
21650.024427315162,26587.279822489785,25575.698541689857,26433.00621432388,24519.447784914,24768.588646737273,25362.49220922742,21428.571428571435,24544.610623111574,2120.738798467516
21677.55554703281,26587.25655680123,25632.67219836282,26511.253959149064,24509.309476814546,24779.468338232764,25344.016190679264,21428.571428571435,24580.192533075508,2134.8218085487906
22872.094007416097,26286.031701424614,25384.61012832057,26273.558952608175,24447.43964498305,24946.07424230126,24924.448630460738,21142.85714285715,24477.228472239498,2168.73192913985
22892.12086614684,26286.447779386002,25433.18495741414,26337.049459617745,24438.140548138243,24952.60200147242,24906.98320616747,21142.85714285715,24503.1393708686,2179.173509099498
24188.202715728286,26662.065539002306,25877.161295629256,25931.91810023896,24775.445900706298,25304.120214810966,25221.74583436956,21750.0,24889.628007015104,2206.203615680197
24179.834932688846,26662.87265146404,25907.463534304472,25986.722434223462,24768.170742712406,25306.90478262312,25207.712945516985,21750.000000000007,24905.583728261467,2213.4220120719765
24419.37586696563,26595.938748602366,25903.837738143553,26431.79925592874,25228.490939475105,25608.855368400094,25419.862121663304,23499.999999999996,25221.382871950624,2236.39724179716
24412.773833220126,26596.308164830934,25927.651217382187,26465.110100930153,25223.086796841126,25610.800778683937,25409.418917539893,23500.0,25234.02468760764,2241.590397547763
24682.934601094017,26802.089692726713,25646.075659798873,26354.75851341112,25539.997143319102,25451.596812841315,25541.3098548009,22999.999999999996,25360.881907923962,2261.0433625169676
24677.111757871193,26802.57621020124,25668.10860723509,26382.797126669626,25535.525892736798,25453.385056116516,25531.885897336488,22999.999999999993,25369.78239982417,2264.794423137206
25177.332009960122,26872.194336884397,25470.151060951404,26518.35376294795,25778.12068389613,25571.703136717388,25789.14420069127,24166.66666666668,25589.079142183393,2259.1266663212955
24949.21714309701,26520.621664211016,25489.735373435833,26538.720996918648,25535.688303657647,25573.1050856951,25529.666048060306,24166.666666666657,25327.571487389265,2178.4430392521226
23485.20038496574,25750.341244228963,25528.841263253213,26318.701335414604,24867.8536413778,25562.110744083344,25002.901075960806,24281.493680383355,24567.52367896769,2043.5062410374526
22298.782946039322,24668.37224478343,24354.801563116194,25966.98418085852,23858.9120820915,24530.307911408003,23812.131550630165,24207.074307153736,23434.658870496816,1931.0708142291776
20796.33216780063,22897.42749570991,22164.21400181534,26101.921801591063,22697.330364384165,23112.252218800524,22581.273760898082,24986.61734035156,22383.65924071568,1878.2517745873872
19896.899762447887,22085.494232855766,21300.34691063878,25925.57752535501,21881.09106756423,21913.119032474788,21667.068169035876,24252.665663337448,21518.541421231952,1823.061091948036
19176.20495548778,21029.72238903586,20128.54790380904,25001.528623312297,20479.44443915524,21452.744997292764,20449.13820276717,24162.66213276924,20425.08772994481,1749.5269764191712
18422.822339383703,20275.75790546984,19628.476769342633,24735.685595253744,19851.448816896867,21205.963908537364,19897.453423759463,24399.075309627107,19865.1917225619,1755.6956872639917
17220.229056838525,19389.488966205565,18626.20346881944,24300.81395200758,18458.109335884932,20320.681881304045,18720.28980895295,23672.7645311804,18640.60097312426,1675.0159394187594
16492.506777717368,18590.337313083342,18039.882845348726,23609.01733030357,17591.18222998274,19590.50672850532,17984.02837758058,22947.577134985368,17859.431198403763,1635.287821506944
15020.416870809568,17496.180606046823,16372.644368385336,22246.2216802924,15963.488247215973,18859.240868459405,16506.547984003562,21238.79054730449,16362.171966222471,1552.118979771638
13973.97241983364,17056.513757590812,15690.603849840685,21587.114107047608,15002.366371180395,18429.8401736225,15624.391851730317,20539.669642941255,15597.367830552488,1487.5338690049784
13530.448224465983,15241.653343748287,14068.764432917438,20748.505235923003,13480.939741992508,17522.419266948018,14225.469755075777,20474.579746588708,14574.634332970629,1367.1528583691695
12510.791417619037,14560.196034283257,13446.567321629582,20220.809967147146,12808.947615144853,16553.788447768336,13864.285154799447,19150.439142300198,13675.346036681658,1314.081523329482
12227.952065843625,13268.93118256662,11571.839580644344,19361.756743400587,11940.095926687187,16071.280931486337,13196.246401892331,18518.753488085276,12854.435477406489,1198.7384963371285
10683.755768285208,11616.606972421645,10523.15070890233,18544.453454461873,10102.379825870403,14719.651279524096,11040.840756686215,17850.245886002245,11004.402261317971,1009.9643489209031
