adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,redis-cart,shippingservice
1,6,6,1,1,6,1,1,1,1,1
1,6,7,1,1,7,1,1,1,1,1
3,3,3,12,1,3,1,9,1,1,2
3,3,7,12,1,7,1,9,1,1,2
3,5,6,12,1,6,1,8,1,1,2
3,5,7,12,1,7,1,8,1,1,2
4,6,6,12,1,6,1,10,6,1,2
4,6,1,12,1,2,1,10,1,1,2
4,6,6,12,1,6,1,10,6,1,2
3,5,1,12,1,2,1,9,1,1,2
3,7,6,12,1,6,1,9,6,1,2
3,5,1,8,1,1,1,5,1,1,2
3,5,6,8,1,6,1,5,1,1,2
4,3,6,12,1,6,1,11,3,1,2
4,3,3,12,1,6,1,11,3,1,2
4,6,6,12,1,6,1,11,1,1,2
4,6,1,12,1,3,1,11,1,1,2
4,6,1,12,1,3,1,11,1,1,2
3,5,1,12,1,3,1,10,1,1,2
3,5,7,12,1,7,1,10,6,1,2
3,5,3,12,1,3,1,10,1,1,2
3,7,6,12,1,6,1,10,1,1,6
3,5,6,12,1,6,1,7,6,1,2
3,5,7,12,1,7,1,7,6,1,2
3,7,7,12,1,7,1,8,3,1,3
3,7,7,12,1,7,1,8,3,1,3
3,5,6,12,1,7,1,8,3,1,2
3,5,1,12,1,3,1,8,1,1,2
3,5,6,12,1,7,1,8,4,1,2
3,5,7,12,1,7,1,8,1,1,2
3,5,7,12,1,7,1,8,1,1,2
3,5,4,12,1,4,1,9,1,1,4
3,6,7,12,1,7,1,9,6,1,4
3,5,7,12,1,7,1,9,1,1,2
3,5,7,12,1,7,1,9,1,1,2
3,5,6,12,1,6,1,9,1,1,2
3,5,7,12,1,7,1,9,1,1,2
3,5,6,12,1,6,1,9,1,1,2
3,6,7,12,1,7,1,9,6,1,5
4,6,6,12,1,6,1,10,1,1,2
4,6,6,12,1,3,1,10,1,1,2
4,6,7,12,1,6,1,10,1,1,2
4,6,6,12,1,6,1,10,1,1,2
4,6,7,12,1,7,1,10,4,1,2
4,6,3,12,1,4,1,10,1,1,2
4,6,3,12,1,4,1,10,1,1,2
4,6,7,12,1,7,1,10,5,1,2
4,6,6,12,1,7,1,10,5,1,2
4,6,1,12,1,6,1,9,1,1,2
4,6,6,12,1,3,1,9,1,1,2
4,6,7,12,1,7,1,9,1,1,2
4,7,6,12,1,7,1,9,6,1,2
4,7,6,12,1,7,1,9,6,1,2
3,5,1,6,1,1,1,5,1,1,2
3,7,6,6,1,6,1,5,1,1,2
3,5,1,12,1,3,1,8,1,1,2
3,5,1,12,1,6,1,8,1,1,2
4,6,6,12,1,6,1,9,3,1,2
4,6,1,12,1,3,1,9,1,1,2
4,6,6,12,1,6,1,9,6,1,2
4,6,1,12,1,3,1,10,1,1,2
4,6,7,12,1,3,1,10,1,1,2
3,5,6,9,1,6,1,6,1,1,2
3,5,7,9,1,7,1,6,1,1,2
4,6,7,12,1,6,1,10,3,1,2
4,6,6,12,1,6,1,10,3,1,2
4,6,1,12,1,2,1,10,1,1,2
4,6,6,12,1,6,1,10,1,1,2
4,6,6,12,1,4,1,11,1,1,2
4,6,3,12,1,3,1,9,1,1,2
4,6,6,12,1,6,1,9,1,1,2
4,6,1,12,1,2,1,8,1,1,2
4,6,7,12,1,7,1,8,5,1,2
4,6,6,12,1,3,1,10,1,1,2
4,6,6,12,1,6,1,10,1,1,2
4,6,1,12,1,2,1,10,1,1,2
4,6,6,12,1,4,1,10,5,1,2
4,6,6,12,1,4,1,10,6,1,2
4,6,7,12,1,6,1,10,7,1,2
4,6,7,12,6,7,1,9,5,1,2
4,6,1,12,1,2,1,8,1,1,2
4,6,6,12,1,6,1,8,1,1,2
4,6,6,12,1,6,1,10,1,1,2
4,6,7,12,1,7,1,10,1,1,2
4,6,6,12,1,6,1,9,1,1,2
4,6,6,12,1,6,1,9,1,1,2
4,6,6,12,3,6,1,11,6,1,2
4,6,6,12,3,6,1,11,6,1,2
4,6,6,12,1,6,1,10,1,1,2
4,6,1,12,1,2,1,11,1,1,2
4,6,6,12,1,6,1,11,1,1,2
4,6,6,12,6,6,1,10,1,1,2
4,6,6,12,6,6,1,10,1,1,2
4,6,1,12,1,2,1,10,1,1,2
4,6,4,12,3,6,1,10,6,1,2
4,6,4,12,4,6,1,10,7,1,2
4,6,6,12,4,7,1,10,7,1,2
4,6,6,12,1,6,1,9,3,1,2
4,6,1,12,1,2,1,9,1,1,2
4,7,6,12,1,7,1,9,6,1,2
3,5,1,9,1,1,1,6,1,1,2
3,5,3,9,3,3,1,6,4,1,2
3,5,1,5,1,1,1,5,1,1,2
3,5,6,5,1,6,1,5,1,1,2
4,6,1,12,1,2,1,9,1,1,2
4,5,4,12,1,6,1,9,1,1,2
4,6,1,12,1,2,1,10,1,1,2
4,6,6,12,1,6,1,10,1,1,2
4,6,3,12,1,6,1,11,1,1,2
4,6,1,12,1,2,1,10,1,1,2
4,6,1,12,1,2,1,10,1,1,2
4,6,1,12,1,2,1,10,1,1,2
4,6,1,12,1,2,1,10,1,1,2
4,6,1,12,1,2,1,10,1,1,2
4,6,1,12,1,2,1,10,1,1,2
4,6,1,12,1,2,1,10,1,1,2
4,6,1,12,1,2,1,10,1,1,2
4,6,1,12,1,2,1,10,1,1,2
4,6,1,12,1,2,1,10,1,1,2
