adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,redis-cart,shippingservice
1,1,12,10,1,12,1,1,1,1,1
1,1,12,10,1,13,1,1,1,1,1
1,1,13,4,10,13,1,1,10,1,1
1,1,2,4,10,13,1,1,10,1,1
1,1,10,4,10,13,1,1,10,1,1
1,1,12,4,10,13,1,1,10,1,1
1,1,5,2,4,13,1,1,4,1,1
1,1,11,2,4,12,1,1,4,1,1
1,1,11,5,2,8,1,1,2,1,1
1,1,12,5,2,12,1,1,2,1,1
1,1,6,8,5,13,1,1,5,1,1
1,1,6,8,5,13,1,1,5,1,1
1,1,6,8,5,13,1,1,5,1,1
1,1,6,8,5,13,1,1,5,1,1
1,1,6,8,5,13,1,1,5,1,1
1,1,11,8,5,13,1,1,5,1,1
1,1,11,8,5,13,1,1,5,1,1
1,1,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,10,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
1,12,13,8,5,13,1,1,5,1,1
