adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,redis-cart,shippingservice
1,1,4,2,1,1,1,2,1,1,1
1,1,6,3,1,2,1,3,1,1,1
1,1,6,5,1,3,1,4,1,1,1
1,1,8,5,1,4,1,6,1,1,1
1,1,9,6,1,6,1,7,1,1,1
1,1,12,9,1,7,1,9,1,1,1
1,1,13,9,1,7,1,10,2,1,1
1,1,13,9,1,7,1,11,3,1,1
1,1,13,11,1,7,1,13,3,1,1
1,1,13,11,1,7,1,13,3,1,1
1,1,13,12,1,7,1,13,3,1,1
1,1,13,12,1,7,1,13,3,1,1
1,1,14,12,1,7,1,13,3,1,1
1,1,14,13,1,7,1,13,3,1,1
1,1,14,13,1,7,1,13,3,1,1
1,1,14,13,1,7,1,14,7,1,1
1,1,14,13,1,7,1,14,7,1,1
1,1,14,13,1,7,1,14,7,1,1
1,1,14,13,1,7,1,14,7,1,1
1,1,14,13,1,7,1,14,7,1,1
1,1,14,13,1,7,1,14,7,1,1
1,1,14,13,1,7,1,14,7,1,1
1,1,14,13,1,7,1,14,7,1,1
1,1,14,14,1,7,1,14,7,1,1
1,1,14,14,1,8,1,14,7,1,1
1,1,14,14,1,9,1,14,7,1,1
1,1,14,14,1,11,1,14,7,1,1
1,1,14,14,1,12,1,14,7,1,1
1,1,14,14,1,14,1,14,8,1,1
1,1,14,14,1,14,1,14,8,1,1
1,1,14,14,1,14,1,14,11,1,1
1,1,14,14,1,14,1,14,13,1,1
1,1,14,14,1,14,1,14,13,1,1
1,1,14,14,1,14,1,14,13,1,1
1,1,14,14,1,14,1,14,13,1,1
1,1,14,14,1,14,1,14,13,1,1
1,1,14,14,1,14,1,14,13,1,1
1,1,14,14,1,14,1,14,13,1,1
1,1,14,14,1,14,1,14,13,1,1
1,1,14,14,1,14,1,14,13,1,1
1,1,14,14,1,14,1,14,13,1,1
1,1,14,14,1,14,1,14,13,1,1
1,1,14,14,1,14,1,14,13,1,1
1,1,14,14,1,14,1,14,13,1,1
1,1,14,14,1,14,1,14,13,1,1
1,1,14,14,1,14,1,13,12,1,1
1,1,14,14,1,14,1,13,12,1,1
1,1,14,14,1,14,1,12,11,1,1
1,1,14,14,1,14,1,12,11,1,1
1,1,14,14,1,14,1,12,10,1,1
1,1,14,14,1,14,1,13,10,1,1
1,1,14,14,1,14,1,13,10,1,1
1,1,14,14,1,14,1,13,12,1,1
1,1,14,14,1,14,1,13,13,1,1
1,1,14,14,1,14,1,13,13,1,1
1,1,14,14,1,14,1,13,13,1,1
1,1,14,14,1,14,1,13,13,1,1
1,1,14,14,1,14,1,13,13,1,1
1,1,14,14,1,14,1,13,13,1,1
1,1,14,13,1,14,1,12,12,1,1
1,1,14,13,1,14,1,12,12,1,1
1,1,14,13,1,14,1,12,11,1,1
1,1,14,13,1,14,1,12,11,1,1
1,1,14,13,1,14,1,12,10,1,1
1,1,14,13,1,14,1,12,10,1,1
1,1,14,13,1,14,1,12,9,1,1
1,1,14,13,1,14,1,12,9,1,1
1,1,14,13,1,14,1,12,8,1,1
1,1,14,13,1,14,1,12,8,1,1
1,1,14,13,1,14,1,12,8,1,1
1,1,14,13,1,14,1,12,8,1,1
1,1,14,13,1,14,1,12,8,1,1
1,1,14,13,1,14,1,12,8,1,1
1,1,14,13,1,14,1,12,8,1,1
1,1,14,13,1,14,1,13,8,1,1
1,1,14,13,1,14,1,13,8,1,1
1,1,14,13,1,14,1,13,8,1,1
1,1,14,13,1,14,1,13,8,1,1
1,1,14,13,1,14,1,13,8,1,1
1,1,14,13,1,14,1,13,8,1,1
1,1,14,13,1,14,1,14,8,1,1
1,1,14,13,1,14,1,14,8,1,1
1,1,14,13,1,14,1,14,8,1,1
1,1,14,13,1,14,1,14,8,1,1
1,1,14,13,1,14,1,14,8,1,1
1,1,14,13,1,14,1,14,9,1,1
1,1,14,13,1,14,1,14,9,1,1
1,1,14,13,1,14,1,14,11,1,1
1,1,14,13,1,14,1,14,12,1,1
1,1,14,13,1,14,1,14,13,1,1
1,1,14,13,1,14,1,14,14,1,1
1,1,14,13,1,14,1,13,13,1,1
1,1,14,13,1,14,1,13,13,1,1
1,1,14,12,1,14,1,12,12,1,1
1,1,14,12,1,14,1,12,12,1,1
1,1,14,11,1,14,1,11,11,1,1
1,1,14,11,1,14,1,11,11,1,1
1,1,14,10,1,14,1,11,10,1,1
1,1,14,10,1,14,1,11,10,1,1
1,1,14,10,1,14,1,11,10,1,1
1,1,14,10,1,14,1,11,10,1,1
1,1,14,11,1,14,1,12,10,1,1
1,1,14,13,1,14,1,12,10,1,1
1,1,14,13,1,14,1,12,10,1,1
1,1,14,13,1,14,1,13,11,1,1
1,1,14,13,1,14,1,13,11,1,1
1,1,14,13,1,14,1,13,13,1,1
1,1,14,13,1,14,1,13,13,1,1
1,1,14,13,1,14,1,13,13,1,1
1,1,14,13,1,14,1,13,13,1,1
1,1,14,13,1,14,1,13,13,1,1
1,1,14,13,1,14,1,13,13,1,1
1,1,14,13,1,14,1,13,13,1,1
1,1,14,13,1,14,1,13,13,1,1
1,1,14,13,1,14,1,13,13,1,1
1,1,14,13,1,14,1,13,13,1,1
1,1,14,12,1,14,1,12,12,1,1
1,1,14,12,1,14,1,12,12,1,1
1,1,14,11,1,14,1,11,11,1,1
