adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,redis-cart,shippingservice
1,2,6,11,1,8,1,2,4,1,1
1,3,8,14,1,12,2,3,6,1,1
1,3,8,14,1,12,2,3,6,1,1
1,3,8,14,1,10,1,3,5,1,1
1,3,8,12,1,9,1,3,5,1,1
1,3,8,12,1,9,1,3,5,1,1
1,3,7,12,1,9,1,3,5,1,1
1,2,7,12,1,9,1,2,5,1,1
1,2,7,12,1,9,1,2,4,1,1
1,3,7,12,1,9,1,3,5,1,1
1,3,7,12,1,9,1,3,5,1,1
1,2,7,12,1,9,1,2,4,1,1
1,2,7,12,1,9,1,3,5,1,1
1,2,7,12,1,9,1,3,5,1,1
1,2,6,12,1,9,1,3,4,1,1
1,2,6,12,1,9,1,3,4,1,1
1,2,6,11,1,9,1,2,4,1,1
1,2,6,11,1,9,1,3,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,5,11,1,9,1,3,4,1,1
1,2,5,10,1,8,1,3,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,6,10,1,9,1,3,4,1,1
1,2,6,10,1,8,1,3,4,1,1
1,2,6,10,1,9,1,3,4,1,1
1,2,6,11,1,9,2,3,4,1,1
1,2,6,10,1,9,1,3,4,1,1
1,2,6,10,1,9,1,3,4,1,1
1,2,6,10,1,9,1,3,4,1,1
1,2,6,10,1,8,1,3,4,1,1
1,2,6,10,1,8,1,3,4,1,1
1,2,6,10,1,8,1,2,4,1,1
1,2,6,10,1,9,1,3,4,1,1
1,2,6,10,1,9,1,3,4,1,1
1,2,6,10,1,9,1,3,4,1,1
1,2,6,11,1,9,1,3,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,6,10,1,8,1,2,4,1,1
1,2,6,10,1,8,1,3,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,5,11,1,8,1,2,4,1,1
1,2,4,11,1,8,1,2,4,1,1
1,2,4,11,1,8,1,2,4,1,1
1,2,4,11,1,8,1,2,4,1,1
1,2,4,11,1,9,1,2,4,1,1
1,2,4,11,1,9,1,2,4,1,1
1,2,4,11,1,9,1,2,4,1,1
1,2,4,11,1,9,1,2,4,1,1
1,2,4,11,1,9,1,2,4,1,1
1,2,4,11,1,9,1,2,4,1,1
1,2,4,11,1,9,1,2,4,1,1
1,2,4,11,1,8,1,2,3,1,1
1,2,4,11,1,9,1,2,3,1,1
1,2,4,12,1,9,1,2,3,1,1
1,2,4,12,1,9,1,2,4,1,1
1,2,4,12,1,9,1,2,4,1,1
1,2,3,12,1,8,1,2,3,1,1
1,2,3,12,1,9,1,2,3,1,1
1,2,4,12,1,9,1,2,3,1,1
1,2,4,13,1,9,1,2,4,1,1
1,2,4,13,1,9,1,2,4,1,1
1,2,3,13,1,9,1,2,3,1,1
1,2,4,13,1,9,1,2,4,1,1
1,2,4,13,1,9,1,2,4,1,1
1,2,4,13,1,9,1,2,4,1,1
1,2,4,13,1,9,1,2,4,1,1
1,2,4,14,1,9,1,2,4,1,1
1,2,4,14,1,9,1,2,4,1,1
1,2,4,14,1,9,1,2,4,1,1
1,2,4,14,1,10,1,2,4,1,1
1,2,4,14,1,10,1,2,4,1,1
1,2,4,14,1,10,1,2,4,1,1
1,2,4,14,1,9,1,2,4,1,1
1,2,4,14,1,9,1,2,4,1,1
1,2,4,14,1,10,1,2,4,1,1
1,2,4,14,1,9,1,2,4,1,1
1,2,4,14,1,9,1,2,4,1,1
1,2,5,14,1,9,1,2,4,1,1
1,2,5,14,1,9,1,2,4,1,1
1,2,5,14,1,9,1,2,4,1,1
1,2,5,14,1,9,1,2,4,1,1
1,2,5,14,1,9,1,2,4,1,1
1,2,6,14,1,9,1,2,4,1,1
1,2,6,14,1,9,1,2,4,1,1
1,2,6,14,1,9,1,2,4,1,1
1,2,6,14,1,9,1,2,4,1,1
1,2,6,14,1,9,1,2,4,1,1
1,3,7,14,1,9,1,2,5,1,1
1,3,7,14,1,9,1,2,5,1,1
1,3,7,14,1,9,1,2,5,1,1
1,3,7,14,1,9,1,2,5,1,1
1,3,7,14,1,9,1,2,5,1,1
1,3,8,14,1,10,1,2,5,1,1
1,3,8,14,1,10,1,3,5,1,1
1,3,7,14,1,9,1,2,5,1,1
1,3,8,14,1,10,1,2,5,1,1
1,3,7,14,1,9,1,2,5,1,1
1,3,8,14,1,9,1,2,5,1,1
1,3,7,14,1,9,1,2,5,1,1
1,3,7,14,1,9,1,2,5,1,1
1,3,7,14,1,9,1,2,5,1,1
1,3,8,14,1,9,1,2,5,1,1
1,3,7,14,1,9,1,2,5,1,1
1,3,7,14,1,9,1,2,5,1,1
1,3,7,14,1,9,1,2,5,1,1
1,3,7,13,1,9,1,2,5,1,1
1,3,7,13,1,9,1,2,5,1,1
1,2,7,13,1,9,1,2,5,1,1
1,2,7,12,1,9,1,2,4,1,1
1,2,7,12,1,8,1,2,4,1,1
1,2,7,12,1,8,1,2,4,1,1
1,2,7,12,1,9,1,2,5,1,1
1,3,7,12,1,9,1,3,5,1,1
