adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,redis-cart,shippingservice
1,2,6,11,1,8,1,2,4,1,1
1,2,6,10,1,7,1,2,4,1,1
1,2,6,12,1,9,1,2,4,1,1
1,2,6,12,1,9,1,2,4,1,1
1,2,6,12,1,9,1,2,4,1,1
1,2,6,12,1,8,1,2,4,1,1
1,2,6,12,1,9,1,2,4,1,1
1,2,6,11,1,8,1,2,4,1,1
1,2,6,12,1,9,1,2,4,1,1
1,2,6,12,1,9,1,2,4,1,1
1,2,6,12,1,9,1,2,4,1,1
1,2,6,12,1,9,1,2,4,1,1
1,2,5,12,1,9,1,2,4,1,1
1,2,5,11,1,8,1,2,4,1,1
1,2,5,11,1,9,1,2,4,1,1
1,2,5,11,1,8,1,2,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,5,11,1,8,1,2,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,5,11,1,8,1,2,4,1,1
1,2,4,10,1,8,1,2,4,1,1
1,2,4,10,1,8,1,2,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,5,9,1,8,1,2,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,4,10,1,8,1,2,4,1,1
1,2,5,10,1,8,1,2,4,1,1
1,2,4,10,1,8,1,2,4,1,1
1,2,4,10,1,8,1,2,3,1,1
1,2,4,11,1,8,1,2,4,1,1
1,2,4,11,1,8,1,2,3,1,1
1,2,4,11,1,8,1,2,3,1,1
1,2,4,11,1,8,1,2,3,1,1
1,2,4,11,1,8,1,2,3,1,1
1,2,4,11,1,9,1,2,3,1,1
1,2,3,11,1,8,1,2,3,1,1
1,2,3,11,1,8,1,2,3,1,1
1,2,3,11,1,8,1,2,3,1,1
1,2,3,11,1,8,1,2,3,1,1
1,2,3,11,1,8,1,2,3,1,1
1,2,3,11,1,8,1,2,3,1,1
1,2,3,12,1,9,1,2,3,1,1
1,2,3,12,1,9,1,2,3,1,1
1,2,3,12,1,9,1,2,3,1,1
1,2,3,12,1,9,1,2,3,1,1
1,2,3,12,1,8,1,2,3,1,1
1,2,3,12,1,9,1,2,3,1,1
1,2,3,13,1,9,1,2,3,1,1
1,2,3,13,1,9,1,2,3,1,1
1,2,3,13,1,9,1,2,3,1,1
1,2,3,13,1,9,1,2,3,1,1
1,2,3,13,1,9,1,2,3,1,1
1,2,3,14,1,9,1,2,4,1,1
1,2,4,14,1,9,1,2,4,1,1
1,2,4,14,1,9,1,2,4,1,1
1,2,4,14,1,9,1,2,4,1,1
1,2,4,14,1,9,1,2,4,1,1
1,2,4,14,1,9,1,2,4,1,1
1,2,4,14,1,9,1,2,4,1,1
1,2,4,14,1,9,1,2,4,1,1
1,2,4,14,1,9,1,2,4,1,1
1,2,4,14,1,9,1,2,4,1,1
1,2,4,14,1,9,1,2,4,1,1
1,2,4,15,1,9,1,2,4,1,1
1,2,4,14,1,9,1,2,4,1,1
1,2,4,15,1,9,1,2,4,1,1
1,2,4,14,1,9,1,2,4,1,1
1,2,5,14,1,9,1,2,4,1,1
1,2,5,14,1,9,1,2,4,1,1
1,2,5,14,1,9,1,2,4,1,1
1,2,5,14,1,9,1,2,4,1,1
1,2,5,14,1,9,1,2,4,1,1
1,2,5,14,1,9,1,2,4,1,1
1,2,5,14,1,9,1,2,4,1,1
1,2,5,14,1,9,1,2,4,1,1
1,2,6,14,1,9,1,2,4,1,1
1,2,6,14,1,9,1,2,4,1,1
1,2,6,14,1,9,1,2,4,1,1
1,2,6,14,1,9,1,2,4,1,1
1,2,6,14,1,9,1,2,4,1,1
1,2,6,14,1,9,1,2,4,1,1
1,3,6,14,1,9,1,2,4,1,1
1,3,6,15,1,9,1,2,4,1,1
1,3,6,15,1,9,1,2,4,1,1
1,2,6,14,1,9,1,2,4,1,1
1,2,6,14,1,9,1,2,4,1,1
1,2,6,14,1,9,1,2,4,1,1
1,2,6,14,1,9,1,2,4,1,1
1,2,6,14,1,9,1,2,4,1,1
1,2,6,14,1,9,1,2,4,1,1
1,2,6,14,1,9,1,2,4,1,1
1,2,6,13,1,9,1,2,4,1,1
1,2,6,13,1,9,1,2,4,1,1
1,2,6,12,1,8,1,2,4,1,1
1,2,6,13,1,9,1,2,4,1,1
1,2,6,12,1,8,1,2,4,1,1
1,2,6,12,1,8,1,2,4,1,1
1,2,6,12,1,8,1,2,4,1,1
1,2,6,12,1,8,1,2,4,1,1
1,2,6,12,1,8,1,2,4,1,1
1,2,6,12,1,8,1,2,4,1,1
1,2,6,12,1,8,1,2,4,1,1
1,2,6,11,1,8,1,2,4,1,1
